name,wkn,link
SAP SE,716460,https://www.boerse-frankfurt.de/aktie/sap-se
Allianz SE,840400,https://www.boerse-frankfurt.de/aktie/allianz-se
Linde plc,A2DSYC,https://www.boerse-frankfurt.de/aktie/linde-plc
Deutsche Telekom AG,555750,https://www.boerse-frankfurt.de/aktie/deutsche-telekom-ag
Mercedes Benz Group AG (ehemals Daimler),710000,https://www.boerse-frankfurt.de/aktie/mercedes-benz-group
Siemens AG,723610,https://www.boerse-frankfurt.de/aktie/siemens-ag
Volkswagen AG Vz,766403,https://www.boerse-frankfurt.de/aktie/volkswagen-ag-vz
BASF SE,BASF11,https://www.boerse-frankfurt.de/aktie/basf-se
Bayer AG,BAY001,https://www.boerse-frankfurt.de/aktie/bayer-ag
Infineon Technologies AG,623100,https://www.boerse-frankfurt.de/aktie/infineon-technologies-ag
adidas AG,A1EWWW,https://www.boerse-frankfurt.de/aktie/adidas-ag
Deutsche Post AG,555200,https://www.boerse-frankfurt.de/aktie/deutsche-post-ag
Deutsche Bank AG,514000,https://www.boerse-frankfurt.de/aktie/deutsche-bank-ag
Münchener Rück AG,843002,https://www.boerse-frankfurt.de/aktie/muenchener-rueck-ag
Deutsche Börse AG,581005,https://www.boerse-frankfurt.de/aktie/deutsche-boerse-ag
BMW AG St,519000,https://www.boerse-frankfurt.de/aktie/bmw-ag-st
Vonovia SE,A1ML7J,https://www.boerse-frankfurt.de/aktie/vonovia-se
Zalando SE,ZAL111,https://www.boerse-frankfurt.de/aktie/zalando-se
Porsche Automobil Holding SE,PAH003,https://www.boerse-frankfurt.de/aktie/porsche-automobil-holding-se
RWE AG St,703712,https://www.boerse-frankfurt.de/aktie/rwe-ag-st
Airbus SE,938914,https://www.boerse-frankfurt.de/aktie/airbus-se
Delivery Hero SE,A2E4K4,https://www.boerse-frankfurt.de/aktie/delivery-hero-se
Fresenius SE & Co. KGaA,578560,https://www.boerse-frankfurt.de/aktie/fresenius-se-co-kgaa
Covestro AG,606214,https://www.boerse-frankfurt.de/aktie/covestro-ag
E.ON SE,ENAG99,https://www.boerse-frankfurt.de/aktie/e-on-se
Siemens Healthineers AG,SHL100,https://www.boerse-frankfurt.de/aktie/siemens-healthineers-ag
Commerzbank AG,CBK100,https://www.boerse-frankfurt.de/aktie/commerzbank-ag
Daimler Truck Holding AG,DTR0CK,https://www.boerse-frankfurt.de/aktie/daimler-truck-holding-ag
HelloFresh SE,A16140,https://www.boerse-frankfurt.de/aktie/hellofresh-se
Brenntag SE,A1DAHH,https://www.boerse-frankfurt.de/aktie/brenntag-se
Rheinmetall AG,703000,https://www.boerse-frankfurt.de/aktie/rheinmetall-ag
